date,opponent,hurst_score,opponent_score
2024-11-12,Davis & Elkins College,67,51
2024-11-24,Bryant & Stratton College,109,43
2024-12-30,Allegheny College,71,52
2025-01-09,Le Moyne College,63,52
2025-01-20,LIU,78,51
2025-01-23,Wagner College,63,57
2025-01-25,LIU,73,58
2025-02-06,Chicago State University,76,69
2025-02-13,Central Connecticut State University,76,74
